起始站名,目的站名,距离（米）
张郭庄,园博园,1345
园博园,张郭庄,1345
园博园,大瓦窑,4073
大瓦窑,园博园,4073
大瓦窑,郭庄子,1236
郭庄子,大瓦窑,1236
郭庄子,大井,2044
大井,郭庄子,2044
大井,七里庄,1579
七里庄,大井,1579
七里庄,西局,845
西局,七里庄,845
北京南站,陶然桥,887
陶然桥,北京南站,887
陶然桥,永定门外,1063
永定门外,陶然桥,1063
永定门外,景泰,1119
景泰,永定门外,1119
景泰,蒲黄榆,1025
蒲黄榆,景泰,1025
蒲黄榆,方庄,1486
方庄,蒲黄榆,1486
方庄,十里河,1618
十里河,方庄,1618
十里河,南八里庄,1147
南八里庄,十里河,1147
南八里庄,北工大西门,1276
北工大西门,南八里庄,1276
北工大西门,平乐园,1128
平乐园,北工大西门,1128
平乐园,九龙山,897
九龙山,平乐园,897
九龙山,大望路,1780
大望路,九龙山,1780
大望路,红庙,708
红庙,大望路,708
红庙,金台路,894
金台路,红庙,894
金台路,朝阳公园,1085
朝阳公园,金台路,1085
朝阳公园,枣营,1221
枣营,朝阳公园,1221
枣营,东风北桥,2173
东风北桥,枣营,2173
东风北桥,将台,1600
将台,东风北桥,1600
将台,高家园,1171
高家园,将台,1171
高家园,望京南,676
望京南,高家园,676
望京南,阜通,1168
阜通,望京南,1168
阜通,望京,903
望京,阜通,903
望京,东湖渠,1283
东湖渠,望京,1283
东湖渠,来广营,1100
来广营,东湖渠,1100
来广营,善各庄,1364
善各庄,来广营,1364
